source,target,relation,source_name,target_name
150,128,fifoSize,lpuart13,4
150,151,IRQ,lpuart13,nvic0@154
152,123,frequency,lpuart14,24000000
152,128,fifoSize,lpuart14,4
152,153,IRQ,lpuart14,nvic0@155
154,123,frequency,lpuart15,24000000
154,128,fifoSize,lpuart15,4
154,155,IRQ,lpuart15,nvic0@156
156,157,has,can0,96 buffers
156,158,has,can0,20 fifoSize
156,159,has address,can0,0x40304000
156,160,has message buffers,can0,96
156,161,has enhanced rxFifo size,can0,20
162,163,has address,can1,0x40308000
162,160,has message buffers,can1,96
162,161,has enhanced rxFifo size,can1,20
164,165,has address,can2,0x4030C000
164,160,has message buffers,can2,96
164,161,has enhanced rxFifo size,can2,20
166,167,has address,can3,0x40310000
168,169,has address,can4,0x40314000
170,171,located at,can5,0x40318000
172,173,located at,can6,0x4031C000
174,175,located at,can7,0x40320000
176,177,located at,mc_cgm_mux_0_css,0x402D8304
176,178,size,mc_cgm_mux_0_css,0x4
176,9,initable,mc_cgm_mux_0_css,true
176,179,filename,mc_cgm_mux_0_css,flipflop.py
180,181,located at,mc_cgm_mux_1_css,0x402D8344
180,178,size,mc_cgm_mux_1_css,0x4
180,9,initable,mc_cgm_mux_1_css,true
180,179,filename,mc_cgm_mux_1_css,flipflop.py
182,183,located at,mc_cgm_mux_2_css,0x402D8384
182,178,has size,mc_cgm_mux_2_css,0x4
182,179,has filename,mc_cgm_mux_2_css,flipflop.py
182,178,size,mc_cgm_mux_2_css,0x4
182,9,initable,mc_cgm_mux_2_css,true
182,184,filename,mc_cgm_mux_2_css,scripts/pydev/flipflop.py
185,178,size,mc_cgm_mux_3_css,0x4
185,9,initable,mc_cgm_mux_3_css,true
185,184,filename,mc_cgm_mux_3_css,scripts/pydev/flipflop.py
186,178,size,mc_cgm_mux_4_css,0x4
186,9,initable,mc_cgm_mux_4_css,true
186,184,filename,mc_cgm_mux_4_css,scripts/pydev/flipflop.py
182,183,address,mc_cgm_mux_2_css,0x402D8384
185,187,address,mc_cgm_mux_3_css,0x402D83C4
186,188,address,mc_cgm_mux_4_css,0x402D8404
189,178,size,mc_cgm_mux_5_css,0x4
189,9,initable,mc_cgm_mux_5_css,true
189,184,filename,mc_cgm_mux_5_css,scripts/pydev/flipflop.py
190,178,size,mc_cgm_mux_6_css,0x4
190,9,initable,mc_cgm_mux_6_css,true
190,184,filename,mc_cgm_mux_6_css,scripts/pydev/flipflop.py
191,178,size,mc_cgm_mux_7_css,0x4
191,9,initable,mc_cgm_mux_7_css,true
191,184,filename,mc_cgm_mux_7_css,scripts/pydev/flipflop.py
189,192,address,mc_cgm_mux_5_css,0x402D8444
190,193,address,mc_cgm_mux_6_css,0x402D8484
191,194,address,mc_cgm_mux_7_css,0x402D84C4
195,178,has size,mc_cgm_mux_8_css,0x4
195,9,has initable,mc_cgm_mux_8_css,true
195,179,has filename,mc_cgm_mux_8_css,flipflop.py
195,178,size,mc_cgm_mux_8_css,0x4
195,9,initable,mc_cgm_mux_8_css,true
195,184,filename,mc_cgm_mux_8_css,scripts/pydev/flipflop.py
196,178,size,mc_cgm_mux_9_css,0x4
196,9,initable,mc_cgm_mux_9_css,true
196,184,filename,mc_cgm_mux_9_css,scripts/pydev/flipflop.py
197,178,size,mc_cgm_mux_10_css,0x4
197,9,initable,mc_cgm_mux_10_css,true
197,184,filename,mc_cgm_mux_10_css,scripts/pydev/flipflop.py
195,198,type,mc_cgm_mux_8_css,PythonPeripheral
196,198,type,mc_cgm_mux_9_css,PythonPeripheral
197,198,type,mc_cgm_mux_10_css,PythonPeripheral
195,199,address,mc_cgm_mux_8_css,0x402D8504
196,200,address,mc_cgm_mux_9_css,0x402D8544
197,201,address,mc_cgm_mux_10_css,0x402D8584
202,178,size,mc_cgm_mux_11_css,0x4
202,9,initable,mc_cgm_mux_11_css,true
202,179,filename,mc_cgm_mux_11_css,flipflop.py
203,178,size,mc_cgm_mux_12_css,0x4
203,9,initable,mc_cgm_mux_12_css,true
203,179,filename,mc_cgm_mux_12_css,flipflop.py
204,178,size,mc_cgm_mux_13_css,0x4
204,9,initable,mc_cgm_mux_13_css,true
204,179,filename,mc_cgm_mux_13_css,flipflop.py
205,178,has size,mc_cgm_mux_14_css,0x4
205,179,has filename,mc_cgm_mux_14_css,flipflop.py
205,9,is initable,mc_cgm_mux_14_css,true
205,178,size,mc_cgm_mux_14_css,0x4
205,9,initable,mc_cgm_mux_14_css,true
205,184,filename,mc_cgm_mux_14_css,scripts/pydev/flipflop.py
206,178,size,mc_cgm_mux_15_css,0x4
206,9,initable,mc_cgm_mux_15_css,true
206,184,filename,mc_cgm_mux_15_css,scripts/pydev/flipflop.py
207,178,size,mc_cgm_mux_16_css,0x4
207,9,initable,mc_cgm_mux_16_css,true
207,184,filename,mc_cgm_mux_16_css,scripts/pydev/flipflop.py
208,178,size,mc_cgm_mux_17_css,0x4
208,9,initable,mc_cgm_mux_17_css,true
208,184,filename,mc_cgm_mux_17_css,scripts/pydev/flipflop.py
208,198,type,mc_cgm_mux_17_css,PythonPeripheral
209,178,size,mc_cgm_mux_18_css,0x4
209,9,initable,mc_cgm_mux_18_css,true
209,184,filename,mc_cgm_mux_18_css,scripts/pydev/flipflop.py
209,198,type,mc_cgm_mux_18_css,PythonPeripheral
210,178,size,mc_cgm_mux_19_css,0x4
210,9,initable,mc_cgm_mux_19_css,true
210,184,filename,mc_cgm_mux_19_css,scripts/pydev/flipflop.py
210,198,type,mc_cgm_mux_19_css,PythonPeripheral
208,211,address,mc_cgm_mux_17_css,0x402D8744
209,212,address,mc_cgm_mux_18_css,0x402D8784
210,213,address,mc_cgm_mux_19_css,0x402D87C4
210,214,located at,mc_cgm_mux_19_css,sysbus 0x402D87C4
210,179,filename,mc_cgm_mux_19_css,flipflop.py
215,216,located at,gmac0,sysbus 0x40484000
215,217,systemClockFrequency,gmac0,50000000
215,218,connected to,gmac0,nvic0@224
219,220,connected to,Channel0TX,nvic0@225
221,222,connected to,Channel0RX,nvic0@226
223,224,connected to,Channel1TX,nvic0@227
225,226,connected to,Channel1RX,nvic0@228
227,228,connected to,Channel2TX,nvic0@229
229,230,connected to,Channel2RX,nvic0@230
231,232,located at,gmac1,0x40488000
231,217,has system clock frequency,gmac1,50000000
231,3,connected to,gmac1,nvic0
233,234,address,ITM,0xE0000000
235,236,address,FPB,0xE0002000
237,238,address,TPIU,0xE0040000
239,240,address,ETM,0xE0041000
241,242,address,CTI,0xE0042000
243,244,address,Cortex-M7 PPB ROM table,0xE00FF000
245,246,address,MCM,0xE0080000
247,248,address,VIRT_WRAPPER,0x402A8000
249,250,address,TSPC,0x402C4000
251,252,has address,AXBS,0x40200000
253,254,has address,DMAMUX_0,0x40280000
255,256,has address,DMAMUX_1,0x40284000
257,258,has address,eDMA,0x4020C000
259,260,has address,TCD_0,0x40210000
261,262,has address,TCD_1,0x40214000
263,264,has address,TCD_2,0x40218000
265,266,has address,TCD_3,0x4021C000
267,268,has address,TCD_4,0x40220000
269,270,has address,TCD_5,0x40224000
271,272,has address,TCD_6,0x40228000
273,274,has address,TCD_7,0x4022C000
275,276,has address,TCD_8,0x40230000
277,278,has address,TCD_9,0x40234000
279,280,has address,TCD_10,0x40238000
281,282,has address,TCD_11,0x4023C000
283,284,has address,TCD_12,0x40410000
285,286,has address,TCD_13,0x40414000
287,288,has address,TCD_14,0x40418000
289,290,has address,TCD_15,0x4041C000
291,292,has address,TCD_16,0x40420000
293,294,has tag,TCD_17,0x40424000
295,296,has tag,TCD_18,0x40428000
297,298,has tag,TCD_19,0x4042C000
299,300,has tag,TCD_20,0x40430000
301,302,has tag,TCD_21,0x40434000
303,304,has tag,TCD_22,0x40438000
305,306,has tag,TCD_23,0x4043C000
307,308,has tag,TCD_24,0x40440000
309,310,has tag,TCD_25,0x40444000
311,312,has tag,TCD_26,0x40448000
313,314,has tag,TCD_27,0x4044C000
315,316,has tag,TCD_28,0x40450000
317,318,has tag,TCD_29,0x40454000
319,320,has tag,TCD_30,0x40458000
311,312,has address,TCD_26,0x40448000
313,314,has address,TCD_27,0x4044C000
315,316,has address,TCD_28,0x40450000
317,318,has address,TCD_29,0x40454000
319,320,has address,TCD_30,0x40458000
321,322,has address,TCD_31,0x4045C000
323,324,has address,INTM,0x4027C000
325,326,has address,SEMA42,0x40460000
327,328,has address,XBIC_AXBS,0x40204000
329,330,has address,XBIC_AXBS_ACE,0x4040C000
331,332,has address,XBIC_AXBS_ACE_HSE,0x40008000
333,334,has tag,0x40208000,XBIC_AXBS_PERI
335,336,has tag,0x40408000,XBIC_AXBS_PRAM_TCM
337,338,has tag,0x40400000,XBIC_AXBS_TCM
339,340,has tag,0x40404000,XBIC_AXBS_eDMA
341,342,has tag,0x40278000,XRDC
343,344,address,c40asf_flash,0x402EC000
345,346,address,PFLASH,0x40268000
347,348,address,PRAMC_0,0x40264000
349,350,address,PRAMC_1,0x40464000
351,352,address,PRAMC_2,0x40468000
353,354,address,MC_CGM,0x402D8000
355,356,address,FIRC,0x402D0000
357,358,address,SIRC,0x402C8000
359,360,address,FXOSC,0x402D4000
361,362,address,SXOSC,0x402CC000
363,364,has name,Tag 0x402E0000,PLL
365,366,has name,Tag 0x402E4000,PLL_AUX
367,368,has name,Tag 0x4028C000,MC_RGM
368,369,has tag,MC_RGM,0x4028C000
370,371,has tag,AES_ACCEL,0x44000000
372,373,has tag,Configuration_GPR,0x4039C000
374,375,has tag,DCM,0x402AC000
376,377,has tag,DCM_GPR,0x402AC200
378,379,has tag,MU_2.MUA,0x400B8000
380,381,has tag,MU_3.MUA,0x400C4000
382,383,has tag,MU_4.MUA,0x400CC000
384,385,has tag,MU_0.MUB,0x4038C000
386,387,has tag,MU_1,0x404EC000
388,389,has tag,MU_2,0x400BC000
390,391,has tag,MU_3,0x400C8000
392,393,has tag,MU_4,0x400D0000
394,395,has tag,PMC,0x402E8000
396,397,has tag,MC_ME,0x402DC000
398,399,has tag,WKPU,0x402B4000
400,401,has tag,EIM_0,0x4050C000
402,403,has tag,EIM_1,0x40510000
404,405,has tag,EIM_2,0x40514000
406,407,has tag,EIM_3,0x40518000
408,409,has tag,ERM_0,0x4025C000
410,411,has tag,ERM_1,0x4000C000
412,413,has tag,FCCU,0x40384000
414,415,has tag,SELFTEST_GPR,0x403B0000
416,417,has tag,STCU2,0x403A0000
418,419,has tag,CMU_0,0x402BC000
420,421,has tag,CMU_1,0x402BC020
422,423,has tag,CMU_2,0x402BC040
424,425,has tag,CMU_3,0x402BC060
426,427,has tag,CMU_4,0x402BC080
428,429,has tag,CMU_6,0x402BC0C0
430,431,has tag,CRC,0x40380000
432,433,has address,ADC_0,0x400A0000
434,435,has address,ADC_1,0x400A4000
436,437,has address,ADC_2,0x400A8000
438,439,has address,LPCMP_0,0x40370000
440,441,has address,LPCMP_1,0x40374000
442,443,has address,LPCMP_2,0x404E8000
444,445,has address,LCU_0,0x40098000
446,447,has address,LCU_1,0x4009C000
448,449,has address,eMIOS_0,0x40088000
450,451,has address,eMIOS_1,0x4008C000
452,453,has tag,eMIOS_2,0x40090000
454,455,has tag,BCTU,0x40084000
456,457,has tag,TRGMUX,0x40080000
458,459,has tag,SAI_0,0x4036C000
460,461,has tag,SAI_1,0x404DC000
462,463,has tag,QuadSPI,0x404CC000
464,465,has tag,QuadSPI RX,0x67000000
466,52,has tag,QuadSPI_ARDB,0x68000000
467,468,has tag,MDM_AP,0x40250600
469,470,has tag,SDA_AP,0x40254700
471,472,has tag,JDC,0x40394000
473,474,has tag,TEMPSENSE,0x4037C000
467,468,has address,MDM_AP,0x40250600
469,470,has address,SDA_AP,0x40254700
471,472,has address,JDC,0x40394000
473,474,has address,TEMPSENSE,0x4037C000
475,476,has address,STAT,0x402D4004
477,478,has address,SXOSC_STAT,0x402CC004
479,480,has address,PLLSR,0x402E0004
481,479,has name,Tag,PLLSR
481,482,has type,Tag,PLL Status Register
481,178,has size,Tag,0x4
483,33,has size,ram,0x10000000
483,484,has sysbus,ram,0x40000000
483,485,has shadow sysbus,ram,0xc0000000
41,486,has type,cpu,rv32imac_zicsr_zifencei
487,488,has sysbus,uart,0x60001800
487,489,has shadow sysbus,uart,0xE0001800
487,41,connected to,uart,cpu
490,491,has address,spi,0x60002000
490,236,has shadow,spi,0xE0002000
492,493,has address,timer0,0x60002800
492,494,has shadow,timer0,0xE0002800
492,495,has frequency,timer0,100000000
492,496,connected to,timer0,cpu@1
497,498,has address,gpio_out,0x60005800
497,499,has shadow,gpio_out,0xE0005800
497,500,has type,gpio_out,Out
501,502,has address,gpio_in,0x60006000
24,503,type,sysbus,Type.In
24,504,address,sysbus,0xE0006000
501,503,has type,gpio_in,Type.In
501,502,has sysbus,gpio_in,0x60006000
501,504,has shadow sysbus,gpio_in,0xE0006000
505,506,has sysbus,eth,0x60009800
505,507,has shadow sysbus,eth,0xE0009800
505,508,has bus registration,eth,0x30000000
505,509,has shadow bus registration,eth,0xB0000000
24,510,has address,sysbus,0x60009000
24,511,has size,sysbus,0x800
24,512,has region,sysbus,phy
24,513,has address,sysbus,0xe0009000
24,514,init,sysbus,Tag 0xE0003800
514,515,has value,Tag 0xE0003800,DNA
24,516,init,sysbus,Tag 0xE0005000
516,517,has value,Tag 0xE0005000,I2C
24,518,init,sysbus,Tag 0xE0006800
518,519,has value,Tag 0xE0006800,PRBS RNG
24,520,init,sysbus,Tag 0xE0007000
520,521,has value,Tag 0xE0007000,PWM
522,523,has cpuType,cpu_0,rv32ima_zicsr_zifencei
522,4,has hartId,cpu_0,0
522,524,has timeProvider,cpu_0,clint
522,525,has privilegedArchitecture,cpu_0,Priv1_10
526,523,has cpuType,cpu_1,rv32ima_zicsr_zifencei
526,8,has hartId,cpu_1,1
526,524,has timeProvider,cpu_1,clint
526,525,has privilegedArchitecture,cpu_1,Priv1_10
527,523,has cpuType,cpu_2,rv32ima_zicsr_zifencei
527,12,has hartId,cpu_2,2
527,524,has timeProvider,cpu_2,clint
528,523,has cpuType,cpu_3,rv32ima_zicsr_zifencei
528,15,has hartId,cpu_3,3
528,524,has timeProvider,cpu_3,clint
528,525,has privilegedArchitecture,cpu_3,Priv1_10
483,529,has size,ram,0x08000000
528,530,has type,cpu_3,VexRiscv
483,531,has type,ram,MappedMemory
483,529,size,ram,0x08000000
483,24,at,ram,sysbus
524,532,frequency,clint,1000000
524,128,numberOfTargets,clint,4
524,24,at,clint,sysbus
524,522,targets,clint,cpu_0
524,526,targets,clint,cpu_1
524,527,targets,clint,cpu_2
524,528,targets,clint,cpu_3
533,534,located at,UART,0xF0001800
535,44,size,sram_l,0x10000
535,536,location,sram_l,0x1fff0000
47,537,size,sram,0x30000
47,40,location,sram,0x20000000
538,539,size,flash,0x100000
538,540,location,flash,0x0
541,542,location,uart0,0x4006A000
541,543,IRQ,uart0,nvic
543,16,location,nvic,0xE000E000
543,544,systickFrequency,nvic,120000000
543,41,IRQ,nvic,cpu
41,545,cpuType,cpu,cortex-m4f
41,543,nvic,cpu,nvic
546,547,located at,mcg,0x40064000
548,549,located at,sim,0x40047000
505,550,located at,eth,0x400C0000
505,551,TxIRQ at,eth,nvic@83
505,552,RxIRQ at,eth,nvic@84
505,553,MiscIRQ at,eth,nvic@85
512,554,located at,phy,eth 0
512,555,Id1,phy,0x0007
512,556,Id2,phy,0xC0F1
512,557,AutoNegotiationAdvertisement,phy,0x00A1
512,558,AutoNegotiationLinkPartnerBasePageAbility,phy,0x0001
559,560,located at,rng,0x40029000
559,561,IRQ at,rng,nvic@23
24,562,init,sysbus,ApplySVD
562,563,uses,ApplySVD,MK64F12.svd.gz
6,564,has cpuType,cpu1,cortex-a9
6,565,has genericInterruptController,cpu1,gic
10,564,has cpuType,cpu2,cortex-a9
10,565,has genericInterruptController,cpu2,gic
13,564,has cpuType,cpu3,cortex-a9
13,565,has genericInterruptController,cpu3,gic
13,15,has cpuId,cpu3,3
6,566,connected to,cpu1,gic#1
10,567,connected to,cpu2,gic#2
13,568,connected to,cpu3,gic#3
566,6,interrupt,gic#1,cpu1
567,10,interrupt,gic#2,cpu2
568,13,interrupt,gic#3,cpu3
569,570,frequency,privateTimer2,667000000
571,570,frequency,privateTimer3,667000000
569,567,connected to,privateTimer2,gic#2
571,568,connected to,privateTimer3,gic#3
572,570,is,frequency,667000000
543,573,systickFrequency,nvic,72000000
543,574,priorityMask,nvic,0xF0
41,2,cpuType,cpu,cortex-m7
575,576,size,itcm,0x80000
577,576,size,dtcm,0x80000
578,576,size,ocram2,0x80000
579,580,size,wdog1,0x4000
581,383,located at,trng,0x400CC000
582,393,located at,wdog2,0x400D0000
582,580,size,wdog2,0x4000
582,583,has filename,wdog2,ticker.py
584,389,located at,wdog3,0x400BC000
584,580,size,wdog3,0x4000
584,583,has filename,wdog3,ticker.py
585,586,located at,iomuxc,0x401F8000
585,580,size,iomuxc,0x4000
585,583,has filename,iomuxc,ticker.py
179,587,located in,flipflop.py,scripts/pydev
585,9,initable,iomuxc,true
585,179,filename,iomuxc,flipflop.py
588,589,size,analog01,0x30
588,9,initable,analog01,true
588,179,filename,analog01,flipflop.py
590,591,size,analog03,0x3fcc
590,9,initable,analog03,true
590,179,filename,analog03,flipflop.py
592,198,type,dcdc,PythonPeripheral
593,594,IRQ,gpTimer1,nvic@100
125,595,IRQ,lpuart1,nvic@20
127,596,IRQ,lpuart2,nvic@21
130,597,IRQ,lpuart3,nvic@22
132,561,IRQ,lpuart4,nvic@23
134,598,IRQ,lpuart5,nvic@
136,599,IRQ,lpuart6,nvic@25
600,601,->,IRQ,nvic@24
134,601,IRQ,lpuart5,nvic@24
138,602,IRQ,lpuart7,nvic@26
140,603,IRQ,lpuart8,nvic@27
604,605,at,gpio1,sysbus 0x401B8000
606,607,at,gpio2,sysbus 0x401BC000
132,608,at,lpuart4,sysbus 0x40190000
134,609,at,lpuart5,sysbus 0x40194000
136,610,at,lpuart6,sysbus 0x40198000
138,611,at,lpuart7,sysbus 0x4019c000
140,612,at,lpuart8,sysbus 0x401a0000
613,614,located at,gpio3,0x401C0000
615,616,located at,gpio4,0x401C4000
617,550,located at,gpio5,0x400C0000
618,619,located at,gpio6,0x42000000
620,621,located at,gpio7,0x42004000
622,623,located at,gpio8,0x42008000
624,625,located at,gpio9,0x4200C000
626,627,located at,gpio10,0x401C8000
628,629,type,enetIRQs,CombinedInput
628,128,numberOfInputs,enetIRQs,4
630,128,numberOfInputs,enet2IRQs,4
630,629,type,enet2IRQs,CombinedInput
630,631,location,enet2IRQs,Miscellaneous
628,632,has input,enetIRQs,nvic@114
630,633,has input,enet2IRQs,nvic@152
634,628,has IRQ,enet,enetIRQs
635,630,has IRQ,enet2,enet2IRQs
634,636,has TimerIRQ,enet,nvic@115
635,637,has TimerIRQ,enet2,nvic@153
24,248,address,sysbus,0x402A8000
24,638,region,sysbus,ciphertext
24,639,size,sysbus,0xF000000
24,640,address,sysbus,0x60000000
641,642,address,flex_spi2,0x402A4000
641,643,defined as,flex_spi2,SPI.IMXRT_FlexSPI
641,644,located at,flex_spi2,sysbus 0x402A4000
103,24,at,lpspi1,sysbus
103,472,address,lpspi1,0x40394000
106,24,at,lpspi2,sysbus
106,645,address,lpspi2,0x40398000
109,24,at,lpspi3,sysbus
109,373,address,lpspi3,0x4039C000
112,24,at,lpspi4,sysbus
112,417,address,lpspi4,0x403A0000
646,24,at,adc1,sysbus
646,381,address,adc1,0x400C4000
646,647,interrupt,adc1,nvic@67
648,24,at,adc2,sysbus
648,391,address,adc2,0x400C8000
648,649,interrupt,adc2,nvic@68
650,651,located at,pwm1,0x403DC000
652,653,located at,pwm2,0x403E0000
652,654,connected to,pwm2,nvic@137
655,656,located at,pwm3,0x403E4000
652,654,Reload IRQ,pwm2,nvic@137
657,658,located at,pwm4,0x403E8000
41,659,has port,cpu,0x41400000-0x414FFFFF
660,661,has port,m,0x41100000-0x411FFFFF
662,663,has port,main,0x41000000-0x410FFFFF
664,665,is,OCRAM,FlexRAM
666,667,has address,DTCM,0x20000000-0x2007FFFF
668,669,has address,ROMCP,0x00200000-0x0021FFFF
670,671,has address,ITCM,0x00000000-0x0007FFFF
672,673,has address,CCM,0x400FC000-0x400FFFFF
674,675,has value,CCM_CBCDR,0x000A8200
676,677,has value,CCM(CSCDR1),0x40
678,679,has range,SRC(SRC),0x400F8000-0x400FBFFF
680,681,has range,GPC,0x400F4000-0x400F7FFF
682,683,has range,DMA_CH_MUX,0x400EC000-0x400EFFFF
684,685,has range,EDMA,0x400E8000-0x400EBFFF
686,687,has range,SJC,0x400E4000-0x400E7FFF
688,689,has range,TSC_DIG,0x400E0000-0x400E3FFF
